,ensembl_gene_id,external_gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
471,ENSMUSG00000002748,Baz1b,2584.611664,-0.085036782,0.183487868,-0.463446346,0.643044465,1
472,ENSMUSG00000002763,Pex6,217.8883841,0.054829398,0.19213782,0.285364943,0.775364563,1
473,ENSMUSG00000002767,Mrpl2,77.16703978,0.087664022,0.247198234,0.354630453,0.722866459,1
474,ENSMUSG00000002768,Mea1,126.9413832,-0.055205162,0.182698217,-0.302165849,0.762525636,1
475,ENSMUSG00000002769,Gnmt,2.429552386,-1.407232888,1.2231067,-1.150539759,0.249921628,1
476,ENSMUSG00000002771,Grin2d,2.600502,1.506787697,1.315640152,1.145288623,0.252089617,1
477,ENSMUSG00000002778,Kdelr1,166.4500192,0.097696172,0.173430351,0.563316466,0.573219408,1
478,ENSMUSG00000002781,Tmem143,54.75417792,-0.134945756,0.372608965,-0.362164544,0.717229073,1
480,ENSMUSG00000002797,Ggct,36.32828455,-0.545811651,0.81191634,-0.672251097,0.501423857,1
481,ENSMUSG00000002799,Jag2,83.04948285,-0.192787737,0.340032017,-0.566969367,0.570734994,1
482,ENSMUSG00000002803,Btbd6,75.05733729,-0.048016085,0.231772438,-0.207169088,0.835877808,1
483,ENSMUSG00000002804,Nudt14,22.2552166,0.011305971,0.386701711,0.029236931,0.976675628,1
484,ENSMUSG00000002808,Epdr1,5.190574694,-0.853278585,0.859176696,-0.993135159,0.320644092,1
485,ENSMUSG00000002812,Flii,954.8762838,0.061256685,0.189851148,0.322656384,0.746955487,1
486,ENSMUSG00000002814,Top3a,236.1428036,0.394570728,0.30777016,1.282030488,0.199831951,1
487,ENSMUSG00000002820,Atg4d,78.53803405,-0.109219981,0.225070124,-0.485270899,0.627484195,1
488,ENSMUSG00000002825,Qtrt1,48.95496012,-0.29182687,0.277906874,-1.050088709,0.293677329,1
489,ENSMUSG00000002831,Plin4,13.72550489,-0.506698562,1.05968211,-0.47816091,0.632535682,1
490,ENSMUSG00000002833,Hdgfrp2,550.220886,0.075395446,0.145309823,0.518859939,0.603858416,1
491,ENSMUSG00000002835,Chaf1a,117.4152272,-0.289352571,0.994986977,-0.29081041,0.771196323,1
492,ENSMUSG00000002844,Adprh,305.0984802,-0.030613753,0.209598358,-0.146059127,0.883874712,1
493,ENSMUSG00000002845,Tmem39a,114.1897083,0.070146768,0.515342844,0.136116701,0.891729025,1
494,ENSMUSG00000002846,Timmdc1,119.3703444,-0.222429566,0.202500416,-1.098415357,0.27202316,1
496,ENSMUSG00000002870,Mcm2,278.8145303,0.337686531,0.658997618,0.512424509,0.608353942,1
497,ENSMUSG00000002871,Tpra1,170.6944506,0.376708588,0.366820527,1.026956129,0.304441122,1
498,ENSMUSG00000002881,Nab1,253.7540185,-0.006821689,0.29542793,-0.023090873,0.981577786,1
499,ENSMUSG00000002885,Adgre5,20.78177428,1.122715656,0.927618155,1.210320918,0.226155774,1
