,ensembl_gene_id,external_gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
21009,ENSMUSG00000074671,Tspyl3,36.56767913,-0.803331256,0.348042386,-2.308142017,0.020991239,0.859234413
22605,ENSMUSG00000078627,10-Mar,3.32575665,-4.211771507,1.812441584,-2.323810899,0.020135631,0.859234413
23650,ENSMUSG00000081058,Hist2h3c2,14.00100445,-4.181496588,1.788093485,-2.338522355,0.019360167,0.859234413
26429,ENSMUSG00000084221,Hmgb1-ps4,9.342703493,2.409296295,1.030380602,2.338258592,0.019373838,0.859234413
27411,ENSMUSG00000085436,Zfp335os,6.816983573,-1.897633039,0.811666912,-2.337945544,0.019390073,0.859234413
28412,ENSMUSG00000086665,Gm13067,2.843847226,3.344893381,1.446987035,2.311626367,0.020798282,0.859234413
41839,ENSMUSG00000103348,Gm37053,5.250870843,-2.10562824,0.902436103,-2.333271278,0.019633912,0.859234413
42021,ENSMUSG00000103543,Gm37669,2.57217362,3.187177325,1.381409926,2.307191562,0.021044143,0.859234413
43390,ENSMUSG00000104960,Snhg8,64.28762822,-0.630607423,0.270525179,-2.331048906,0.019750781,0.859234413
45309,ENSMUSG00000106928,RP23-26P10.1,25.06697797,-0.983614215,0.424962253,-2.314591965,0.020635273,0.859234413
22640,ENSMUSG00000078695,Cisd3,15.11552317,-2.125612696,0.92226939,-2.304763356,0.02117983,0.862680647
1994,ENSMUSG00000018752,Tnfsfm13,56.20168121,-1.072497734,0.46616369,-2.300689131,0.021409209,0.869447699
4649,ENSMUSG00000024735,Prpf19,475.7212809,0.772377854,0.336085393,2.298159546,0.02155271,0.869447699
13889,ENSMUSG00000047022,Mipol1,47.73470667,-0.799819941,0.347931758,-2.298783949,0.021517211,0.869447699
19647,ENSMUSG00000069540,Gm4925,8.877753274,3.752227237,1.632691196,2.298185502,0.021551233,0.869447699
10018,ENSMUSG00000035365,Parpbp,9.090389373,2.689622343,1.171029326,2.296801868,0.021630075,0.870481152
795,ENSMUSG00000004996,Mri1,77.13997048,0.569250856,0.248657593,2.289296093,0.022062155,0.871196159
9347,ENSMUSG00000033420,Antxr1,25.09439109,1.379108284,0.601673505,2.29212068,0.02189868,0.871196159
13710,ENSMUSG00000046402,Rbp1,15.26871577,1.514946626,0.660608521,2.293259286,0.021833082,0.871196159
15153,ENSMUSG00000051675,Trim32,108.9501243,-0.858418558,0.374721559,-2.290817106,0.021973994,0.871196159
15465,ENSMUSG00000053119,Chmp3,665.7236003,-0.482692156,0.21039924,-2.294172524,0.021780591,0.871196159
28053,ENSMUSG00000086206,Gm13783,5.856200171,-2.092860289,0.914164462,-2.289369558,0.022057889,0.871196159
39015,ENSMUSG00000100417,Gm28578,3.830820013,-2.894590592,1.262648648,-2.292475104,0.021878243,0.871196159
42246,ENSMUSG00000103778,Gm36930,6.861285237,1.288920452,0.562841686,2.290023082,0.022019979,0.871196159
3483,ENSMUSG00000022102,Dok2,36.63767765,-2.042722739,0.895193794,-2.281877681,0.022496563,0.88213795
3672,ENSMUSG00000022422,Dscc1,21.67388144,1.936357747,0.848148591,2.283040694,0.022427971,0.88213795
8023,ENSMUSG00000030771,Micalcl,2.943013765,-3.668069545,1.607007498,-2.282546627,0.022457088,0.88213795
