,ensembl_gene_id,external_gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
253,ENSMUSG00000001440,Kpnb1,2454.68886,-0.160275789,0.123115066,-1.301837337,0.192971997,1
254,ENSMUSG00000001441,Npepps,348.1943825,0.093975093,0.252948342,0.371518914,0.710251071,1
256,ENSMUSG00000001445,Mrpl10,88.57236313,-0.278844592,0.299058466,-0.932408286,0.351125564,1
257,ENSMUSG00000001467,Cyp51,73.23722581,0.062679419,0.4970466,0.126103707,0.899649833,1
258,ENSMUSG00000001472,Tcf25,1224.680185,0.03062779,0.093552826,0.327384983,0.743376723,1
259,ENSMUSG00000001473,Tubb6,88.7845511,-0.109181565,0.430761371,-0.253461828,0.799911355,1
260,ENSMUSG00000001482,Def8,109.5386521,0.212810928,0.380713888,0.558978632,0.576176304,1
262,ENSMUSG00000001494,Sost,3.559371946,-0.906084376,1.326381522,-0.683124999,0.49452786,1
266,ENSMUSG00000001506,Col1a1,6.866629715,0.060314133,1.089553999,0.055356718,0.955854277,1
270,ENSMUSG00000001517,Foxm1,74.8548082,-0.313124819,0.77107924,-0.406086434,0.684679093,1
271,ENSMUSG00000001518,Itfg2,85.49072842,0.16187672,0.228542842,0.708299234,0.478759453,1
273,ENSMUSG00000001521,Tulp3,78.40688617,0.137537836,0.536949775,0.256146556,0.797837674,1
274,ENSMUSG00000001524,Gtf2h4,55.01379286,0.124169319,0.355294773,0.349482539,0.726727077,1
275,ENSMUSG00000001525,Tubb5,2155.676144,0.177838471,0.28554876,0.622795459,0.533418943,1
276,ENSMUSG00000001542,Ell2,129.7004882,-0.489424592,0.453655455,-1.078846483,0.280656169,1
277,ENSMUSG00000001552,Jup,231.3405613,0.369330213,0.416333247,0.887102378,0.375023784,1
278,ENSMUSG00000001555,Fkbp10,5.239017413,-0.58106509,0.974243888,-0.596426724,0.550890192,1
281,ENSMUSG00000001569,Nom1,436.3388606,0.218959142,0.308573599,0.709584823,0.477961634,1
282,ENSMUSG00000001576,Ergic1,424.5545704,-0.128040783,0.244783249,-0.523078207,0.60091983,1
283,ENSMUSG00000001583,Tnk1,2.33794561,0,2.295873767,0,1,1
285,ENSMUSG00000001604,Tcea3,4.974007243,0.328107028,0.968742594,0.338693715,0.734840476,1
287,ENSMUSG00000001627,Ifrd1,266.2320941,-0.375838653,0.325894746,-1.153251647,0.248807111,1
288,ENSMUSG00000001630,Stk38l,155.8126701,-0.064317258,0.215432323,-0.298549711,0.765283641,1
289,ENSMUSG00000001632,Brpf1,1149.027623,-0.161201073,0.15403111,-1.046548801,0.295307726,1
290,ENSMUSG00000001642,Akr1b3,213.7008195,0.065790724,0.285087125,0.230774097,0.817490306,1
296,ENSMUSG00000001665,Gstt3,9.822496201,-0.303121406,0.746506284,-0.406053389,0.684703373,1
297,ENSMUSG00000001666,Ddt,27.74328094,-0.261663974,0.523479253,-0.499855482,0.617176841,1
300,ENSMUSG00000001674,Ddx18,315.1023991,-0.37591619,0.356502616,-1.054455629,0.291674365,1
301,ENSMUSG00000001687,Ubl3,1410.635348,0.246415591,0.260610748,0.945531193,0.344387754,1
302,ENSMUSG00000001700,Gramd3,15.18376005,0.357273186,0.579410358,0.616615117,0.537488621,1
303,ENSMUSG00000001707,Eef1e1,38.09005597,-0.425138346,0.404885821,-1.050020335,0.293708763,1
304,ENSMUSG00000001729,Akt1,837.6552511,0.133978364,0.152581526,0.878077233,0.379901807,1
306,ENSMUSG00000001741,Il16,1115.859175,0.050292043,0.183358824,0.274282097,0.783867842,1
307,ENSMUSG00000001750,Tcirg1,2026.857132,0.170218028,0.161822104,1.051883663,0.292852928,1
308,ENSMUSG00000001751,Naglu,412.6143214,0.139269366,0.234532529,0.593816844,0.552634622,1
309,ENSMUSG00000001755,Coasy,163.5590304,0.24618493,0.257369915,0.956541212,0.338798873,1
310,ENSMUSG00000001761,Smo,334.7093987,0.189925107,0.205351705,0.924877187,0.355029795,1
311,ENSMUSG00000001763,Tspan33,125.6529706,0.050906127,0.219439284,0.231982744,0.816551416,1
312,ENSMUSG00000001767,Crnkl1,351.3821156,-0.035943498,0.218115821,-0.16479088,0.869108583,1
313,ENSMUSG00000001768,Rin2,1498.011875,0.204900424,0.186609482,1.098017218,0.272196971,1
314,ENSMUSG00000001773,Folh1,2.983885171,1.105371057,1.33557041,0.827639672,0.407874594,1
315,ENSMUSG00000001774,Chordc1,282.2950825,-0.277567919,0.219532875,-1.264356964,0.206101932,1
316,ENSMUSG00000001783,Rtcb,897.282332,-0.087342053,0.230154623,-0.379492935,0.704321849,1
317,ENSMUSG00000001785,Pwp1,173.815562,-0.175683152,0.244816166,-0.717612545,0.47299622,1
318,ENSMUSG00000001786,Fbxo7,173.8210576,0.491850419,0.291231446,1.68886439,0.091245421,1
319,ENSMUSG00000001794,Capns1,389.9410646,0.436616155,0.186431013,2.341971697,0.01918217,1
320,ENSMUSG00000001802,Lrp3,5.741242755,-1.875736386,1.469409832,-1.276523639,0.201770476,1
325,ENSMUSG00000001827,Folr1,31.88705944,-0.011465481,0.590528782,-0.019415617,0.984509552,1
326,ENSMUSG00000001829,Clpb,169.9072362,0.032117811,0.31666773,0.101424324,0.919213628,1
327,ENSMUSG00000001833,7-Sep,798.8951157,-0.033434195,0.139816579,-0.239128972,0.811005577,1
328,ENSMUSG00000001844,Zdhhc4,95.32618708,0.150571095,0.231297586,0.650984292,0.515056627,1
329,ENSMUSG00000001847,Rac1,1540.46397,0.056990816,0.176602575,0.3227066,0.746917453,1
330,ENSMUSG00000001855,Nup214,906.0537537,0.039218533,0.394429871,0.09943094,0.920796118,1
331,ENSMUSG00000001864,Aif1l,6.34042741,1.484335463,1.294131761,1.146973985,0.251392373,1
333,ENSMUSG00000001870,Ltbp1,7.501671333,0.311410041,1.036706364,0.300384035,0.76388424,1
334,ENSMUSG00000001891,Ugp2,132.0653007,-0.400925384,0.317916847,-1.261101408,0.207272313,1
335,ENSMUSG00000001901,Kcnh6,2.428859103,-1.937214601,1.684639197,-1.149928486,0.250173327,1
336,ENSMUSG00000001909,Trmt1,353.9221701,-0.235604069,0.279418421,-0.843194474,0.399119688,1
337,ENSMUSG00000001910,Nacc1,846.2937897,0.038436844,0.117039863,0.328408145,0.742603086,1
338,ENSMUSG00000001911,Nfix,646.4174646,-0.286583063,0.368921342,-0.776813456,0.437268837,1
339,ENSMUSG00000001918,Slc1a5,58.86334605,-0.399837292,0.550154934,-0.726772164,0.467365538,1
340,ENSMUSG00000001924,Uba1,886.9791106,-0.355004689,0.175240292,-2.025816584,0.042783584,1
341,ENSMUSG00000001930,Vwf,25.98110198,0.834649968,1.091133785,0.76493825,0.444308316,1
342,ENSMUSG00000001942,Siae,122.9387089,0.212544245,0.345375131,0.615401127,0.538289847,1
344,ENSMUSG00000001946,Esam,5.495377743,1.386117913,1.314256751,1.054678176,0.291572536,1
345,ENSMUSG00000001948,Spa17,5.040205726,0.779665159,1.078600551,0.722848842,0.469772756,1
347,ENSMUSG00000001964,Emd,75.98011824,-0.001177253,0.220663955,-0.00533505,0.995743267,1
348,ENSMUSG00000001983,Taco1,66.47850888,-0.155836726,0.29590703,-0.526640836,0.598443028,1
349,ENSMUSG00000001985,Grik3,5.560826304,-0.673515872,1.079610472,-0.623850814,0.532725565,1
350,ENSMUSG00000001986,Gria3,3.221156599,-0.330223445,1.625337116,-0.203172279,0.839000379,1
352,ENSMUSG00000001995,Sipa1l2,2127.116047,0.089367322,0.105959826,0.843407593,0.399000527,1
353,ENSMUSG00000001998,Ap4e1,212.7978304,-0.039346839,0.219397178,-0.17934068,0.857670206,1
354,ENSMUSG00000001999,Blvra,78.09048537,-0.128535669,0.28817807,-0.446028627,0.655576567,1
355,ENSMUSG00000002006,Pdzd4,10.20453846,-0.702119573,0.599759349,-1.170668826,0.241731921,1
356,ENSMUSG00000002007,Srpk3,116.9228235,0.13758354,0.54017825,0.254700258,0.798954617,1
357,ENSMUSG00000002010,Idh3g,316.52344,0.292485078,0.184230777,1.58760161,0.112376454,1
