,ensembl_gene_id,external_gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
9077,ENSMUSG00000032601,Prkar2a,350.2257441,0.583739489,0.213355117,2.735999476,0.006219112,0.226363471
7845,ENSMUSG00000030450,Oca2,10.57675946,-3.539881304,1.295747339,-2.731922496,0.006296595,0.228323164
12167,ENSMUSG00000041134,Cyyr1,7.601773257,-4.415899109,1.616997015,-2.73092595,0.006315666,0.228323164
35949,ENSMUSG00000097101,1810034E14Rik,15.1803207,-3.272825802,1.198511521,-2.730742045,0.006319191,0.228323164
1309,ENSMUSG00000010205,Raver1,598.6704605,0.290112565,0.106314116,2.728824506,0.006356052,0.229096237
5289,ENSMUSG00000025967,Eef1b2,784.230002,0.485964697,0.178255714,2.726222267,0.006406384,0.23034994
2760,ENSMUSG00000020827,Mink1,1127.22567,-0.379870501,0.139445566,-2.724149018,0.006446741,0.230448225
3415,ENSMUSG00000021987,Mtmr6,607.5713739,0.238106502,0.087403948,2.724207633,0.006445597,0.230448225
12120,ENSMUSG00000040952,Rps19,398.8447942,0.708723719,0.260207575,2.723685961,0.006455786,0.230448225
18016,ENSMUSG00000064367,mt-Nd5,4857.582879,0.465944367,0.171248929,2.720860041,0.006511232,0.231868738
7714,ENSMUSG00000030209,Grin2b,92.89309894,-4.395736439,1.616724121,-2.718915604,0.006549632,0.232676845
6239,ENSMUSG00000027641,Rbl1,337.9260079,1.152707142,0.425273366,2.710508662,0.006718009,0.238087538
8581,ENSMUSG00000031799,Tpm4,295.7358828,0.951440897,0.351409432,2.707499599,0.006779215,0.238763478
12247,ENSMUSG00000041408,Wapal,1370.526045,0.654631935,0.241692429,2.708533066,0.006758138,0.238763478
15402,ENSMUSG00000052794,1700030K09Rik,221.7242916,2.808396341,1.037382277,2.707195219,0.006785434,0.238763478
496,ENSMUSG00000002870,Mcm2,278.8145303,1.746747252,0.64622883,2.702985648,0.006871971,0.239215205
5460,ENSMUSG00000026270,Capn10,58.58639789,-1.207519527,0.44642402,-2.704871317,0.006833085,0.239215205
